The Hotel Alessandra,832-289-3223
Cosmetic Rejuvenation Medical Center,323-650-9949
Lyfe Health & Aesthetic Clinic,310-967-9693
Skinlab,310-340-0307
Rowena Lim,310-435-4170
Clinica Nueva Vida,818-847-1007
Facial For Life,323-356-8822
MOTYKIE MED SPA,310-276-6772
Laque Nail Bar and Beauty Lounge,818-985-1877
Solyn Studio,818-430-8397
Kinara Spa,310-657-9188
Skin by Carla,310-717-7821
SKIN by Carla,310-717-7821
Celeste Rodriguez Skin Care,310-499-6400
Cienega Med Spa,310-776-6882
Cienega Medspa- Beverly Hills,323-992-0090
Blue Medi Spa,818-783-3600
SoSPA,917-423-2503
Glam and Glow LA,818-384-6155
Leaux Lash Studio,310-986-4349
7 Q Spa & Medical Center,818-553-3777
7Q Spa Medical Center,(818) 553-3777
Fame's Beauty,818-590-3253
Jasmen Avadisian,818-590-3253
Jasmen Avadisian,818-590-3253
Four Seasons - LA,310-273-2222
Prolase Laser Clinic- Sherman Oaks,(818) 507-0909
Beyond Skin,818-726-4892
Serenity Stone Face & Body LLC,
Spa 415,310-276-8018
Rebecca Fitzgerald MD,323-464-8046
Beverly Hills Surgery and Aesthetic,310-855-0865
Rodeo Drive Dermatology & Aesthetics,310-299-8494
Obagi Skin Health Institute,310-275-3030
Adairis Skincare,310-469-4123
"Harold Lancer, MD",310-278-8444
Four Season Dallas,
Four Seasons Resort and Club- Dallas,972-717-0700
Prism Dermatology,940-393-9582
Nouveau Med Spa,253-358-3667
Lemmon Avenue Age Management LLC,214-220-2712
V-Spa at Hilton Anatole,214-761-7800
Luxury on Lovers,214-352-8800
Flora Kim Dermatology,214-521-1900
Anh's Skin Care & Esthetics,214-606-0242
The Face Place,214-350-8898
Hiatus Spa + Retreat Dallas,214-352-4111
Somatique Medical Spa,214-350-1422
Advanced Skin Fitness,214-521-5277
"iFusion MedSpa, LLC",214-335-1039
JEM Aesthetics,682-224-3351
Physician's Ageless Solutions,682-208-1955
Melinda's Face and Body,214-704-1675
It's a Secret Med Spa,469-789-0004
Bella Med Spa & Aesthetics,214-673-7755
Hotel Crescent Court,214-871-3232
ZO Skin Centre - Dallas,214-253-8694
"The Ritz-Carlton, Dallas",214-922-4821
OVME,(617) 699-5150
Eleven Wellness,214-619-5425
Mara's Med Spa,469-730-3333
spa810 - Uptown (Dallas),469-730-3333
Interventional Pain Management,713-777-4040
Mara's Med Spa, (214) 373-9500
Bella MD,214-378-6500
Dallas Center For Dermatology & Aesthetics,214-631-8546
Kadl Skin,214-901-6601
Blush Aesthetics and Skincare,214-739-5603
Evanesque Med Spa,214-575-5252
"PDP of Texas, PLLC - Dallas Associated Dermatologist ",214-751-2381
Shellie Liptak Advanced Skincare and Rejuvenation,214-535-2406
Life Time Fitness,214-624-5824
Heritage Family Medicine and Aesthetics,817-354-7999
Lifestream Spa & Boutique,972-304-6400
Pure Spa & Salon,214-827-4200
Bex Laser Aesthetix,682-227-6110
Beaus Clinical Skin Care,214-272-7258
Blue Lotus Skincare LLC,469-338-1417
Fresh Faces,972-816-1857
Dallas Skin Institute,972-503-5274
RENEW BEAUTY,214-369-1600
REFINEU Med Spa,817-202-5626
Salon D,214-499-0474
Epicentre - Park Lane,214-887-1577
Med Spa Studios,214-619-5000
Austin and Reddick Dermatology,214-226-2285
Bella Luna Aesthetic Center,806-463-3200
New Essence Skin Care,806-654-8208
Navii Esthetics LLC,806-680-4986
The Spa at Proffer Surgical,806-472-4844
High Plains RX Skin Care, (806) 433-0046
Awaken Med Spa,806-354-8600
JEM Aesthetics,682-224-3351
Physician's Ageless Solutions,682-208-1955
Bex Laser Aesthetix,682-227-6110
Resurgence Wellness,817-402-0013
Anthony Tran MD,862-557-6179
Metroplex Dermatology,817-704-4777
Kleiman Evangelista Eye Center,817-784-0222
Four Season Dallas,
Four Seasons Resort and Club- Dallas,972-717-0700
Prism Dermatology,940-393-9582
Dee Dee Ruelas,817-614-0812
Bella Med Spa & Aesthetics,214-673-7755
Daireds Salon & Spa Pangea,(817) 465-9797
Nouveau Med Spa,253-358-3667
V-Spa at Hilton Anatole,214-761-7800
Heritage Family Medicine and Aesthetics,817-354-7999
Lemmon Avenue Age Management LLC,214-220-2712
Hotel Crescent Court,214-871-3232
"The Ritz-Carlton, Dallas",214-922-4821
Flora Kim Dermatology,214-521-1900
It's a Secret Med Spa,469-789-0004
Advanced Skin Fitness,214-521-5277
Anh's Skin Care & Esthetics,214-606-0242
"iFusion MedSpa, LLC",214-335-1039
Mara's Med Spa,469-730-3333
spa810 - Uptown (Dallas),469-730-3333
Kadl Skin,214-901-6601
Melinda's Face and Body,214-704-1675
Luxury on Lovers,214-352-8800
OVME,(617) 699-5150
ZO Skin Centre - Dallas,214-253-8694
Hiatus Spa + Retreat Dallas,214-352-4111
The Face Place,214-350-8898
REFINEU Med Spa,817-202-5626
Somatique Medical Spa,214-350-1422
Eye LaLa,817-919-3849
Salons on the Hill,817-995-9270
Northeast Tarrant Dermatology,817-281-7546
Paragon Intuitive Technologies LLC,817-473-2120
Skin MD,817-595-4500
Beautopia,817-888-4815
Trinity Aesthetics and Laser,817-310-6624
Hospital Growth LLC DBA Center for Aesthetic Surgery,817-503-2442
Blush Aesthetics and Skincare,214-739-5603
Evanesque Med Spa,214-575-5252
Eleven Wellness,214-619-5425
Calista Skin and Laser,817-488-3838
Interventional Pain Management,713-777-4040
Bella MD,214-378-6500
Mara's Med Spa, (214) 373-9500
My Fabulash Studio LLC,469-360-1771
Beauty by Showtime ,972-632-7333
Skin Zone Rx,972-377-5500
Warthan Dermatology Center,972-542-4646
Laser Beauty Medical Spa,972-930-0333
Life Time Fitness,214-383-2224
Face Haus Skin Spa,214-729-3053
Craig Ranch Spa,214-383-1010
"CR Fitness, LLP",214-383-000
Total Med Solutions,(214) 987-9200
Renew MedSpa,972-464-1611
Tru Derm Allen,(972) 635-3400
Top Spa,972-365-3931
Renovare Spa LLC,972-523-9977
Texas Facial Aesthetics,469-362-6975
"Wellworx Health, Hormone & Wellness Clinic",972-645-1677
Med Spa Studios,817-296-4546
It's A Secret MedSpa LLC,469-786-5874
Le Beau Visage Medical Spa,214-705-7676
Gorgeous Glow Skin Center,469-816-2399
Vibrant Skinecare and Laser Center,469-396-7748
Rodgers Dermatology,972-704-2400
Belissima,214-856-9960
Starwood Med Spa,972-415-3899
Ultimate Image,972-800-2127
It's A Secret MedSpa LLC,469-786-5874
PDP of Texas PLLC - Dallas Associated Dermatologist,214-751-2381
North Texas Dermatology ,972-769-8180
Facelogic Spa,972-424-3323
Revive Med Spa,972-422-4040
McGuiness Dermatology,972-316-4555
Center for Derm & Cosmetic Laser,972-985-9003
Renaissance Plastic Surgery,972-378-3870
U Med Spa - Plano,972-943-8633
Vita Spa Salon,469-605-5333
Atomic Beauty,469-269-1012
The Woodhouse Day Spa,214-473-9955
Tru Derm Plano,972-635-3400
Image Laser Medical Spa,972-746-0036
Rejive Med Spa - Plano,844-735-4831
Christa Eckman LLC,(512) 925-9141
Premier Med Spa,214-730-6300
Spa Salus,972-688-7258
Bader Facial Plastic Surgery,214-501-2021
Surface Skin Spa,972-599-2900
McGuiness Dermatology and Aesthetics,(972) 316-4555
Face Haus Skin Spa,214-729-3053
Avanti Skin Center of Willow Bend,469-229-0921
The Skin Studio,713-303-6558
"Naira Babian, MD",972-403-0800
It's A Secret MedSpa LLC,469-786-5874
Texas Facial Aesthetics,469-362-6975
Starwood Med Spa,972-415-3899
"Wellworx Health, Hormone & Wellness Clinic",972-645-1677
Rodgers Dermatology,972-704-2400
Le Beau Visage Medical Spa,214-705-7676
Vita Spa Salon,469-605-5333
Belissima,214-856-9960
Atomic Beauty,469-269-1012
Vibrant Skinecare and Laser Center,469-396-7748
Spa Salus,972-688-7258
Ultimate Image,972-800-2127
It's A Secret MedSpa LLC,469-786-5874
Renaissance Plastic Surgery,972-378-3870
Tru Derm Plano,972-635-3400
U Med Spa - Plano,972-943-8633
The Woodhouse Day Spa,214-473-9955
Med Spa Studios,817-296-4546
PDP of Texas PLLC - Dallas Associated Dermatologist,214-751-2381
McGuiness Dermatology and Aesthetics,(972) 316-4555
Face Haus Skin Spa,214-729-3053
Craig Ranch Spa,214-383-1010
"CR Fitness, LLP",214-383-000
Center for Derm & Cosmetic Laser,972-985-9003
Face Haus Skin Spa,214-729-3053
Avanti Skin Center of Willow Bend,469-229-0921
Image Laser Medical Spa,972-746-0036
Rejive Med Spa - Plano,844-735-4831
Christa Eckman LLC,(512) 925-9141
"Bradford A Bader, MD - Facial Plastic and Reconstructive Surgery",214-501-2021
Renovare Spa LLC,972-523-9977
"Naira Babian, MD",972-403-0800
My Med Spa LLC,972-378-0993
North Texas Dermatology ,972-769-8180
Skintastic,817-368-9838
Gorgeous Glow Skin Center,469-816-2399
Vitalize Medical Spa,972-473-4999
Warthan Dermatology Center,972-542-4646
Hiatus Spa + Retreat Plano,972-836-0500
Beyond Beautiful Cosmetic Surgery and Med Spa,972-608-0990
Erase Anti Aging Spa,469-772-0000
Life Time Fitness,214-383-2224
Laser Beauty Medical Spa,972-930-0333
Total Med Solutions,(214) 987-9200
The Skin Studio,713-303-6558
GOH Medical,214-543-5569
Beauty by Showtime ,972-632-7333
My Fabulash Studio LLC,469-360-1771
Tru Derm Allen,(972) 635-3400
Top Spa,972-365-3931
Skin Perfections Medical Spa,956-542-2325
S 3  Laser & Aesthetics,956-893-0786
The Body Face,626-714-7358
Contempo Aesthetics,626-765-6291
Gentle Care Health Spa,626-405-2922
ZO Skin Centre- Pasadena,626-795-0067
Comprehensive Dermatology Center of Pasadena,626-793-7760
The Langham Hotel Pasadena,626-568-3900
Soma Medical Spa,818-662-7157
V Line Clinic,408-833-5593
Spring Aesthetic Center,626-286-8141
Harmony Skin Care,626-836-1061
Ann Karen Spa,626-445-5388
New Me Aesthetics,626-899-5005
Obagi Skin Health Institute,626-288-5115
Skin Specifics,818-952-5414
Farmers Beauty,626-451-0088
HAAS Wellness Center,818-491-9000
Imperial Wellness Center,626-288-1933
Spa Pura,818-249-7872
Sunshine Skin Care,818-747-8739
Healthcare Partners Medical Spa,310-354-4478
La Bella Laser & Slimming,626-445-2706
Spa Xanadu,626-821-0687
Beauty Culture,626-447-7555
Rejuvenation Medical Spa,626-446-0700
Mary Scott Skincare,(818) 800-0637
"Glenn Weissman, MD",626-357-6222
Dtox Day Spa,323-665-3869
Fame's Beauty,818-590-3253
Jasmen Avadisian,818-590-3253
Jasmen Avadisian,818-590-3253
7 Q Spa & Medical Center,818-553-3777
7Q Spa Medical Center,(818) 553-3777
Varicose Vein Laser Center & Spa,323-722-0312
"Zelda Billingy, M.D./California Mesotherapy & Laser Institute",323-726-0608
Beyond Skin,818-726-4892
Maki Salon,323-633-6985
Desuarspa,213-265-7908
DTLA Laser & Welllness,323-704-5048
Los Angeles Center for Cosmetic Surgery,(818) 696-2137
Yolanda Aguilar Beauty Institute and Spa,213-687-6683
The Ritz-Carlton,213-763-4404
The Ritz-Carlton - Los Angeles,(213) 763-4404
Advanced Dermatology Center,818-284-4003
Burbank Plastic Surgery,818-840-0590
Skin Matrix-burbank Plastic Surgery Center,818-848-0590
Advanced Laser & Skin Center,781-935-7333
Rebecca Fitzgerald MD,323-464-8046
DMH Aesthetics,323-703-5078
Rowena Lim,310-435-4170
Solyn Studio,818-430-8397
Shelley's Design Studio,254-628-8856
Enilsa's Skin Essentials,
Skin Deep Clinical Skin Care Center and Day Spa,254-680-7546
Rain Skin and Body,254-690-2639
Relax & Rewind LLC,214-662-6273
Total Body Image,254-258-1250
Refresh,254-577-5265
Bellezza Medical Aesthetics,254-231-9636
Woodhouse Day Spa-Belton,254-933-2275
Woodhouse Spa - Belton,254-933-2275
Silk Skin & Body,254-654-4234
Z Medical Aesthetics,254-541-7837
Cosmetic Laser Center,956-668-7700
Venus Medspa,956-682-0255
West Fern Spa,956-777-8397
Angel Hands Spa,956-225-5689
RGV Rejuvenate Med Spa,956-358-1291
D'Vine Skin Therapy,956-467-7710
Allure Dermatology,956-630-3376
Cosmetic Laser Center,956-668-7700
Venus Medspa,956-682-0255
West Fern Spa,956-777-8397
Angel Hands Spa,956-225-5689
RGV Rejuvenate Med Spa,956-358-1291
D'Vine Skin Therapy,956-467-7710
Allure Dermatology,956-630-3376
Aftan's Aesthetics,(432) 242-7412
Midland Plastic Surgery,452-618-6772
Midland Plastic Surgery Center,432-618-6772
Woodhouse - Midland,432-268-0210
West Texas Dermatology,432-563-3113
Laser & Aesthetic Center of Permian Basin,432-580-8060
Glitz House of Beauty,432-362-2515
Lively Wellness and Aesthetics,432-580-9168
"John Molland, MD",(432) 334-7888
Denton Facial Spa,940-368-6241
Lisa Rux,940-231-5636
Argyle Med Spa & Wellness Center,512-308-5757
Woodhouse Day Spa,817-438-1772
Beverly Hills Wellness Spa,972-355-2777
Studio 360 Med Spa,972-318-3600
Lashing Out Beauty Studio,940-395-1807
McGuiness Dermatology,972-316-4555
Flower Mound Plastic Surgery & Aesthetic Spa,972-691-7900
Spa Salus,972-688-7258
Beverly Hills Rejuvenation Center,
